"Id","PartNumber","Name","Price","Unit","Photopath","VendorId"
"1","BRAD-JLIZE-407-3380","Bradley Aperiodic Syndication","3.64","cycles per minute (cpm)","https://www.SulimoUsedCarSales.com/Syndication/Bradley.yup","40"
"2","1980-ORVSL-9073-GEN","Genetic Planetary Polar Question","14.48","second (sec)","http://www.LeaflockMortgageCompany.com/Planetary/Genetic.png","221"
"3","UVDBFCEB-8276-850600-CURIO","Curious Brown Graduation","11.6","amperes per meter (A/m)","http://www.KhamulAthleticTraining.com/Brown/Graduation.jpeg","23"
"4","COSME-5630-UEOES-349","Cosmetic Luminosity Function","7.12","gigabyte (GB)","https://www.KhamulAthleticTraining.com/Cosmetic/Function.jpg","23"
"5","OROGJECV-335-2230-STA","Static Semi-regular Variable Penetration","10.12","gigajoule (GJ)",,"21"
"6","REA-715-8130630-ICPOTZGE","Realistic Altazimuth Impression","1.87","minute (min)",,"208"
"7","VALL-20020-HBHZRKG-7019","Valley Stellar Institutional","2.36","cubic centimeter (cm³)","https://www.FeanorVeterinaryMedicine.com/Valley/Stellar.yup","223"
"8","2714-85770-FRDDL-DELICIO","Delicious Extinction","11.19","month (mo)","http://www.BolgerHospital.com/Extinction/Delicious.png","175"
"9","AQUA-EPINSVE-8042-7137400","Aquatic Color Occupation","16.66","calorie (cal)","http://www.ProudfootHomeHealthServices.com/Aquatic.yup","204"
"10","DRAMA-5780-SVXZSMH-9732","Dramatic Altitude Angle Transmission","1.7","metric ton (ton)",,"120"
"11","NERVO-KMQBKDTA-4101-86310","Nervous X-ray Pursuit","5.36","amperes per square meter (A/m²)",,"221"
"12","8455-9721030-WPXDBN-DELICIO","Delicious Milky Galactic Million","6","kilograms per square meter (kg/m²)","http://www.ShagratPhotography.com/Galactic.png","85"
"13","829-117780-AGISTC-OBVI","Obvious Space Research Dimension","5.24","quart (qt)","https://www.BeregondConstruction.com/Space/Dimension.ico","90"
"14","8483-655640-ZIVAJ-PRECI","Precious Gregorian Provision","5.1","megohm (MΩ)","http://www.AngrodCollectionAgency.com/Provision/Precious.yup","88"
"15","7110-HITHEQ-1847-BERKE","Berkeley Spiral Application","41.37","joules per hour (J/h)","http://www.GimliBakery.com/Berkeley/Spiral.yup","129"
"16","VAL-898-22500-XBKTOEE","Valley Einstein Authorization","159.1","volts per meter (V/m)","https://www.ArtanisPublishing.com/Authorization.gif","53"
"17","MYSTER-677-9490-IKIYQT","Mysterious Astrometry Pension","1.84","millimeter (mm)","https://www.AmrodTruckTransportation.com/Pension.jpg","245"
"18","665-4568320-EYNYS-EXO","Exotic E-folding Extraction","0.78","hertz (Hz)","http://www.LegolasMarketingAndAdvertising.com/Exotic/Extraction.ico","71"
"19","SOLIFKWS-2866-249660-GORGEO","Gorgeous Protection","19.32","kilograms per square meter (kg/m²)","https://www.CurufinweResidentialCareFacility.com/Protection.jpg","215"
"20","8910-611100-MQOSWVS-HARL","Harley Galactic Distribution","13.84","milliVolt (mV)","http://www.ManweOccupationalTherapy.com/Distribution/Galactic.jpg","16"
"21","1737-777190-XDIITT-INDIG","Indigenous Seyfert Million","7.61","pound (lb)","https://www.FaramirBailBonds.com/Million/Indigenous.png","220"
"22","QAYCV-6524-59940-THERAPE","Therapeutic Coronal Perception","32.76","hectoliter (hL)","https://www.CelegormHotels.com/Perception.gif","231"
"23","BRA-464-7320-WLLBDVL","Bradley Cosmochemistry Exclusion","6.56","volt ampere hour (VAh)","http://www.GrahameVeterinaryMedicine.com/Exclusion/Bradley.yup","41"
"24","CON-1389850-FRLDTTO-287","Conscious Early-type Variable Conditional","11.75","joules per square meter (J/m²)",,"166"
"25","4126-5750-RSDVSJKC-DEMOCRAT","Democratic Amplitude Impression","5.4","day day ()","https://www.OlorinTechnicalSchool.com/Democratic/Amplitude.yup","56"
"26","CURIO-FJHBNE-3195-1356840","Curious North Galactic Semiconductor","6.48","kilogram (kg)","http://www.ShagratWholesaleDrugDistribution.com/Curious.yup","24"
"27","805290-OJAYUI-3560-DELI","Delicious Solar Parallax Transcription","5.99","kilobyte (kB)",,"232"
"28","QMDWZI-2756-589110-PLAS","Plastic Relativistic Aberration","6.25","pixel (px)",,"82"
"29","DANGERO-4492-9020-YYYIW","Dangerous Eruptive Binary Sponsor","32.47","megajoule (MJ)","https://www.FrodoTechnicalSchool.com/Binary/Eruptive.bmp","47"
"30","602400-UKKTO-7951-MYSTERIO","Mysterious Solar Radiation","6.57","calorie (cal)","https://www.ShagratPhotography.com/Mysterious/Radiation.bmp","85"
"31","668-9707220-GKFJHO-BRA","Bradley Periodic Orbit Recommendation","11.67","volt ampere (VA)","https://www.MorgothGEDCertification.com/Bradley/Orbit.jpg","105"
"32","ACOUST-3587-4345660-ZFHJPSU","Acoustic Stellar Elemental Conservation","7.29","megahertz (MHz)","https://www.FrodoTechnicalSchool.com/Conservation/Acoustic.gif","47"
"33","516680-ANDHQ-607-ARTIST","Artistic Planetary Microlensing Coordinator","26.52","gigawatt (GW)","https://www.MorgothGEDCertification.com/Artistic/Microlensing.jpeg","105"
"34","9452-125230-JUVDM-SYST","Systematic Photometric Parallax Confirmation","2.99","centimeter (cm)","http://www.FaramirBailBonds.com/Confirmation/Photometric.jpeg","220"
"35","VCURXBZ-1192-56960-RELIGIO","Religious Interdisciplinary Astronomy Actor","5.33","therms per hour (therm/h)","https://www.TurambarBeautySalon.com/Religious/Interdisciplinary.jpg","248"
"36","88400-YACFFN-9377-ATHLE","Athletic Galactic Structure Session","8.3","megajoules per hour (MJ/h)","http://www.ElladanBookkeeping.com/Galactic/Structure.png","159"
"37","3430-ZKLYQRQ-743-CELT","Celtic Solar Radio Emission","0.18","terabyte (TB)","https://www.BeregondConstruction.com/Celtic/Solar.jpg","90"
"38","MAGN-DTIERRHE-555-2050","Magnetic Magellanic Stream Connection","3.3","kilopound (klb)",,"152"
"39","ASH-XKGDI-7919-302870","Ashley Opposition","10.54","weber (Wb)","https://www.GaladrielFuneralDirector.com/Ashley.jpg","15"
"40","1750-MSVAULN-4386-GENET","Genetic Microgravity Qatar","9.07","gram (g)","https://www.BalinOilExtraction.com/Qatar/Genetic.jpeg","250"
"41","ASH-MUEVLNAD-1521-449890","Ashley N-body Adaptation","10.98","metric ton (ton)",,"242"
"42","8919390-XYFNSPEI-742-ANONYM","Anonymous Philosophy Astronomy Preservation","32.7","fluid ounce (fl oz)","https://www.DenethorHomeHealthServices.com/Anonymous/Philosophy.jpeg","95"
"43","FNCWJIW-105-931150-TREMEND","Tremendous Supernovae Tripadvisor","4.07","milligram (mg)","http://www.BirchseedTowing.com/Supernovae/Tremendous.yup","217"
"44","BRAD-22260-LSQNA-8975","Bradley Faber-Jackson Distance Isolation","11.6","btu (BTU)","http://www.GilGaladChildCareServices.com/Faber-Jackson/Isolation.png","167"
"45","HAZ-PQQGWOK-7573-2506610","Hazardous Metal-rich Isolation","6.12","kilometer (km)","https://www.FinarfinConcreteManufacturing.com/Hazardous.png","76"
