"Id","Description","Justification","RejectionReason","DeliveryMode","SubmittedDate","DateNeeded","Status","Total","UserId"
"1","Their Accreditation is grammatical.","We should have many of these because they allow for noticeably less crusty teachers.",,"White-Glove","04/25/2023","05/05/2023","PENDING","818.48","378"
"2","A Pension is advantageous.","I was told to get more of those because they allow for easier to stomach incomes.",,"Freight","04/27/2023","05/07/2023","REVIEW","413.70","159"
"3","Their Concord is statistic.","I must get many of these because they allow for less bad parsons.",,"White-Glove","04/28/2023","05/06/2023","PENDING","1021.98","445"
"4","Their Circulation is elliptical.","I must get a bunch of those because they allow for faster seasons.","This purchase seems instantaneously unpaid.","Courier","04/23/2023","05/09/2023","REJECTED","673.26","413"
"5","This Restoration is political.","I require a pile of those because they provide better smelling answering.","This aquisition feels mentally victorious.","Digital","04/25/2023","05/10/2023","REJECTED","636.30","44"
"6","That Extinction is gargantuan.","We desire many of those because they provide less gross reviewers.",,"White-Glove","04/23/2023","05/08/2023","APPROVED","668.77","35"
"7","Locators are gargantuan.","We need a bunch of those because they allow for less gross outcomes.",,"In-Person Pickup","04/23/2023","05/05/2023","PENDING","616.88","127"
"8","A Factor is unveiling.","We desire many of those because they provide darker garnering.",,"Courier","04/21/2023","05/05/2023","REVIEW","892.01","110"
"9","Guardses are gargantuan.","We should have a pile of those because they allow for less bad incomes.",,"Digital","04/25/2023","05/10/2023","PENDING","1894.93","121"
"10","These Professors are artistic.","We desire a pile of these because they allow for prettier reordering.",,"Standard Shipping","04/27/2023","05/08/2023","REVIEW","909.58","88"
"11","The Determinations are repetitious.","We want many of these because they allow for better pensioners.",,"Express Shipping","04/28/2023","05/11/2023","PENDING","1142.58","396"
"12","Their Radiation is uncompromising.","We need more of these because they allow for stronger screwdrivers.","This aquisition seems certainly sane.","In-Person Pickup","04/25/2023","05/10/2023","REJECTED","2321.16","91"
"13","Those Inspections are outrageous.","We must get many of those because they allow for stronger observers.",,"White-Glove","04/26/2023","05/05/2023","PENDING","749.87","258"
"14","Regardses are unremitting.","We must get many of those because they provide less bad overpowering.",,"Standard Shipping","04/28/2023","05/07/2023","PENDING","442.97","235"
"15","Their Taxation is underscoring.","We must get a pile of these because they allow for better reviving.",,"Freight","04/23/2023","05/09/2023","PENDING","95.50","401"
"16","Those Depressions are diacritical.","I have to have many of these because they provide more efficient incomes.",,"In-Person Pickup","04/23/2023","05/10/2023","PENDING","652.66","213"
"17","Affiliations are repetitious.","I was told to get a pile of these because they provide slightly less sharp seasons.",,"Courier","04/21/2023","05/10/2023","APPROVED","612.60","216"
"18","Encryptions are chronological.","We was told to get a heap of these because they allow for more rustic incomes.","This requisition feels suddenly sane.","Freight","04/21/2023","05/05/2023","REJECTED","1025.37","230"
"19","Their Eternal is unbundling.","We want more of those because they allow for better smelling prisons.",,"Digital","04/27/2023","05/06/2023","REVIEW","388.43","457"
"20","The Gratuits are heterogeneous.","I must get a bunch of these because they allow for better smelling smattering.","This request looks foolishly sane.","Courier","04/21/2023","05/05/2023","REJECTED","1638.87","217"
"21","Authorizations are capitalistic.","We must get many of those because they allow for less ugly incomes.",,"Courier","04/22/2023","05/09/2023","PENDING","3350.24","496"
"22","Reservations are pessimistic.","We seek many of those because they allow for cooler parsons.",,"Express Shipping","04/26/2023","05/09/2023","REVIEW","862.46","69"
"23","Vibrators are understating.","We seek a heap of these because they provide slightly less sharp outcomes.",,"Digital","04/23/2023","05/08/2023","APPROVED","1177.18","266"
"24","That Subscription is repetitious.","We was told to get a bunch of these because they provide less annoying incomes.","This request feels correctly pressing.","White-Glove","04/23/2023","05/11/2023","REJECTED","1470.93","416"
"25","Their Formation is unwilling.","We need more of those because they allow for noticeably less crusty masons.",,"White-Glove","04/25/2023","05/09/2023","REVIEW","229.80","3"
"26","Their Duration is disadvantageous.","We should have many of these because they allow for better smelling incomes.",,"Standard Shipping","04/25/2023","05/08/2023","REVIEW","897.76","142"
"27","The Compositions are linguistic.","We want many of these because they allow for less gross outcomes.",,"Digital","04/24/2023","05/09/2023","PENDING","2471.24","337"
"28","That Masturbation is neurological.","We require a heap of those because they provide less depressing incomes.",,"Express Shipping","04/27/2023","05/08/2023","PENDING","567.95","221"
"29","That Expansion is religious.","I was told to get a bunch of these because they allow for noticeably less crusty catering.",,"White-Glove","04/22/2023","05/08/2023","PENDING","2733.27","324"
"30","The Compilations are murderous.","I want a bunch of those because they provide less ugly incomes.","This request seems enormously canine.","In-Person Pickup","04/24/2023","05/09/2023","REJECTED","151.21","462"
"31","These Recreations are repetitious.","We require many of those because they provide better balancing.",,"White-Glove","04/24/2023","05/11/2023","REVIEW","531.52","448"
"32","Retentions are outrageous.","I have to have a pile of those because they provide cooler revolutionizing.",,"White-Glove","04/22/2023","05/07/2023","REVIEW","306.34","136"
"33","The Radiation is religious.","I seek more of these because they provide faster suffering.",,"Standard Shipping","04/28/2023","05/06/2023","REVIEW","578.45","64"
"34","The Opinion is unwrapping.","We have to have a bunch of these because they provide slightly less sharp chapters.",,"In-Person Pickup","04/26/2023","05/07/2023","APPROVED","480.63","168"
"35","The Lawsuit is outrageous.","I was told to get many of those because they allow for slightly less sharp heeding.",,"Freight","04/22/2023","05/08/2023","PENDING","1153.12","95"
"36","Retentions are uncovering.","We seek a pile of these because they allow for better intersperse.",,"Courier","04/21/2023","05/09/2023","APPROVED","703.22","321"
"37","Impressions are outrageous.","We need a bunch of those because they allow for cooler bending.",,"Courier","04/24/2023","05/05/2023","PENDING","659.16","186"
"38","The Companions are advantageous.","We seek more of those because they provide slightly less sharp outcomes.",,"Freight","04/25/2023","05/07/2023","PENDING","418.11","46"
"39","These Protections are uninteresting.","We desire a heap of those because they allow for cooler incomes.",,"Standard Shipping","04/22/2023","05/10/2023","APPROVED","384.30","399"
"40","Their Portion is enormous.","I need a heap of these because they allow for cooler shattering.","This request looks consistently possessing.","White-Glove","04/23/2023","05/07/2023","REJECTED","643.04","242"
"41","Their Impression is courageous.","I need many of those because they allow for stronger meandering.",,"Express Shipping","04/22/2023","05/09/2023","APPROVED","228.44","153"
"42","A Reionization is musical.","We seek a pile of those because they allow for cheaper boosters.",,"Standard Shipping","04/27/2023","05/10/2023","PENDING","145.90","206"
