"Id","Code","Name","Address","City","State","Zip","Phone","Email"
"1","5680-FSKNRS-3735","Angrod's Ethical Friendliness Dentistry","1463 Galighner Terrace","Prescott","AZ","85067","602-945-4550",
"4","JRDKNFVK-1923-2729170","Balin's Ethical Postscript Oil Extraction","1278 Beechmont Trail","Jupiter","FL","33424",,
"5","1334730-XUKBVXEE-1910","Felagund's Fluorescent Preparedness Insurance","532 Blackrun Boulevard","Rock Springs",,"82939","307-686-7499","donald.felagund@fluorescentinsurance.biz"
"6","MNGLPYPF-5118-3310830","Gwaihir's Perplexing Spacecraft Publishing","1670 Coshocton Lane","Makakilo","HI","96753","808-781-9302","samantha.gwaihir@perplexingpublishing.us"
"7","GVUPPA-7087-502670","Bombadil's Uncritically Weirdness Publishing","457 Burnell Boulevard","Atlanta","GA","31792","404-752-3249","publishing@juan.bombadil.com"
"8","262-2750-LMDOH","Alatar's Archeological Witchcraft Architecture","515 Bonaparte Drv","Longmeadow","MA","1610","413-634-5856",
"9","7995630-ATCZXH-746","Galadriel's Malfunctioning Imperialists Medical Services","593 Dresden Street","Kenner","LA","71363","337-501-8427","medicalservices@lilly.galadriel.co.uk"
"10","509-69240-KGDTXP","Gildor's Indexing Incompatibility Bail Bonds","680 Waters Ridge","Marshfield","WI","54016","920-213-0036","angelica.gildor@incompatibilitybailbonds.org"
"11","5338-1930-XAPRCOY","Gamgee's Incremental Consists Real Estate Agency","1067 Orders Place","Blytheville",,"71951",,"harold.gamgee@realestateagency.com"
"12","QWJWKG-1704-87320","Bombadil's Indexing Synthesizer Technical School","1225 Blackwood Avenue","Sunset",,"34685","448-689-9769","valerie.bombadil@synthesizertechnicalschool.net"
"13","SXFXBJS-717-3421270","Dwalin's Developmental Textures Travel Agency","1017 Burbank Heights","Huntington","IN","47809",,"travelagency@charles.dwalin.net"
"14","IJVKBCY-8239-70650","Faramir's Hideous Credibility Auto Dealership","1324 Beauty Ln","Wailuku","HI","96823","808-534-1538","autodealership@laura.faramir.co.uk"
"15","6818-95960-SLYMZA","Galadriel's Perplexing Anarchists Funeral Director","1457 Teakwood Place","Laramie","WY","83114","307-854-1326","funeraldirector@alyssa.galadriel.net"
"16","7373-8420-FVIDQYSG","Manwe's Transparent Averages Occupational Therapy","699 Harbor Ave","West Hartford",,"6132","959-920-8213","occupationaltherapy@lida.manwe.us"
"17","6120-APYYG-8519","Eomer's Logistically Lightness Hotels","1365 Jewitt Circle","Murray","UT","84653","435-716-7445","annabella09length.eomer@logisticallyhotels.com"
"18","3520-ZHSLO-9369","Luthien's Evanescent Residual Whiskey Manufacturing","925 Cornstill Lane","Spring Valley","NV","89424",,"whiskeymanufacturing@joe.luthien.net"
"19","3910-GOXBKS-6223","Faramir's Marginally Transcript Residential Care Facility","508 High Trail","Camp Springs","MD","21223",,"residentialcarefacility@cynthiafaramir.com"
"21","1573-9218970-LXXYBJI","Aldarion's Malevolent Energizer Marketing and Advertising","438 Parliament Ridge","Edison","NJ","8607","201-946-1961","marketingandadvertising@linda.aldarion.us"
"22","78810-OEHNQCDE-368","Orome's Paradoxical Avoid Towing","914 Locust St","Morristown",,"37604","901-714-6248","towing@billy.orome.us"
"23","1570-85780-NLOXBDU","Khamul's Inconvenient Humorists Athletic Training","1289 Dickson Ave","Warwick","RI","2839","401-868-0116","lida.khamul@inconvenientathletictraining.biz"
"24","FJWEIUVS-9097-444920","Shagrat's Environmental Biannual Wholesale Drug Distribution","1136 Bottom Street","Redmond","WA","98305",,"wholesaledrugdistribution@henryshagrat.com"
"26","FVHZZIL-905-30150","Elendil's Crescent Longevity Janitorial Services","410 Holmes Crescent","McDonough","GA","30598",,
"27","2867-7633990-HXIQZDCM","Treebeard's Expedient Devoid Beauty Salon","758 Burnet Run","KÄneâ€˜ohe","HI","96748","808-090-9101","beautysalon@susan.treebeard.co.uk"
"28","MJJMH-762-2870","Turin's Indexing Individual Substance Abuse Services","1312 Codell Square","Mesquite","NV","89105",,
"29","318-60890-UGLWDVMY","Tilion's Oriental Textures Catering","1735 Wentz Ave","Holbrook","NY","11701","646-842-4254","elijah.tilion@texturescatering.co.uk"
"30","6320-LCPRIRQF-1711","Elwing's Supplement Spacecraft Specialty Meat","421 Rosewood Ridge","Sumter","SC","29225",,"specialtymeat@willie.elwing.net"
"31","UCKWQIM-6980-37380","Celebrimbor's Centralized Politeness Technical School","853 Ambarassdor Terrace","Taylors","SC","29452",,"betty.celebrimbor@technicalschool.com"
"32","4607300-LOVXATQ-1711","Khamul's Malfunctioning Multilingual Hospital","1288 Broad Heights","Michigan City",,"47922","317-949-0780","veronica.khamul@multilingualhospital.com"
"34","9196-1440-ELDSGQZ","Luthien's Continental Homosexual Barber Shop","1279 Arch Boulevard","Watertown","WI","54848","414-250-7300","barbershop@marishka.luthien.com"
"35","8824-67110-KFUTQTDP","Mablung's Multicultural Devoid Nail Salon","656 Monroe Crescent","Walker","MI","48191","989-519-8654","bailey.mablung@devoidnailsalon.org"
"36","5060-TJYUK-711","Turgon's Comical Villages Plumbing","1021 Hewitt Street","Secaucus","NJ","7721","973-359-1874","liv.turgon@plumbing.org"
"37","609240-JDCRKV-2125","Beor's Rhetorical Appendages Vocational Rehabilitation","1447 Laurel Rd","Saint Matthews",,"40921",,"vocationalrehabilitation@rachelbeor.co.uk"
"39","30760-LVSGO-8111","Artanis's Autonomous Postscript Hospital","1232 Carey Blvd","Makakilo",,"96828","808-246-1882",
"40","264530-YSJBAKR-7541","Sulimo's Onerous Connectivity Used Car Sales","1233 Hartford Street","Radcliff",,"42083","364-241-8440",
"41","MRFEOHF-909-155740","Grahame's Rancorous Insures Veterinary Medicine","1576 Chapman Square","Smithfield","RI","2873","401-913-0030","veterinarymedicine@frances.grahame.org"
"42","7065-1200-OFEJTLG","Damrod's Perplexing Liveliness Fitness Center","468 Kerri Boulevard","Iowa City","IA","52211","563-226-9416","daniella.damrod@fitnesscenter.us"
"43","225940-XWTJVQFD-7703","Shadowfax's Repositioning Energizer Cosmetology School","1523 Cass Trail","Paramount","CA","95354",,
"44","59890-RVGUHYQ-325","Luthien's Natural Spacecraft Collection Agency","455 Darlington Parkway","Fairbanks",,"99621",,"jacob.luthien@collectionagency.us"
"45","1977-85460-JSGJBSO","Oakenshield's Natural Casual Marketing and Advertising","1027 Pennsylvania Avenue","West Raleigh","NC","27617","828-271-8939","marketingandadvertising@deniseoakenshield.us"
"46","DQRAIB-8464-4886810","Snaga's Perilous Municipality Fast Food Food Factories","1695 Ball Station","Grand Island","NE","68441","308-722-8543","fastfoodfoodfactories@jamie.snaga.org"
"47","YDEZESD-8053-64150","Frodo's Characterized Consensual Technical School","465 Surger Station","Missoula","MT","59521",,"technicalschool@alyssa.frodo.biz"
"48","7910-NNQBGX-4782","Orome's Current Energizer Specialty Fruit","531 Eddy Crescent","Spanish Springs","NV","89163","725-816-8654","specialtyfruit@zoey.orome.us"
"49","6518880-UNJNDT-5562","Thorondor's Instrumental Paranoid Personal Assistant","841 Kahler Lane","Opportunity","WA","99144",,"personalassistant@willie.thorondor.us"
"50","3037-971520-RBLYCU","Numenor's Repositioning Organizer Oil Extraction","507 Fayette Run","Griffin","GA","30756","706-861-6006","oilextraction@jeffrey.numenor.net"
"51","37820-OONZIHRQ-6397","Curufin's Politically Paranoid Racetrack","1339 Larzelere Boulevard","Logansport","IN","46157",,
"52","BWHMZ-710-8920","Quickbeam's Accent Equalizer Sports Agency","486 Dixon Heights","Hope Mills","NC","27022","919-531-5234","magdalena.quickbeam@accentsportsagency.biz"
"53","6260-LQUYYPHE-4935","Artanis's Perplexing Annual Publishing","605 Redman Parkway","Cheyenne","WY","82839","307-210-1408",
"54","CXRQOE-370-5320","Proudfoot's Biologically Deniability HVAC Repair","1642 Gallia Way","West Chester",,"15906","272-153-7357","ryan09length.proudfoot@hvacrepair.net"
"55","3470-MFQSHZ-550","Strider's Publically Void Drug Screening","1113 Oakwood Lane","Bethesda","MD","21001","443-181-7200","amy.strider@voiddrugscreening.org"
"56","2848320-VUQYRV-9027","Olorin's Medical Manuscript Technical School","1280 Pinkley Circle","West Saint Paul","MN","55790","320-277-5971","technicalschool@victoria.olorin.us"
"57","ZGXGYAE-466-80580","Curufin's Indexing Steroid Bakery","857 Galigher Run","Tucker","GA","31136","678-968-6733","veronica.curufin@steroidbakery.org"
"58","ZVJBVFLL-3337-60440","Pippin's Sentimental Realists Mortgage Company","491 Briarleigh Square","Lockport","NY","12483",,"rebecca.pippin@sentimentalmortgagecompany.com"
"59","2743-23830-FUTVOGTW","Felagund's Elemental Witchcraft Nail Salon","1311 Perine Park","Scottsdale",,"85358","623-194-4613","nailsalon@dorothy.felagund.com"
"60","IEYTDEU-480-908950","Palantir's Mathematical Steroid HVAC Repair","567 Raiders Street","Del City","OK","74937",,"hvacrepair@molly.palantir.biz"
"61","311-743010-AYVBXIR","Isildur's Structurally Postscript Locksmith","1222 Gantz Station","Leominster","MA","1906","774-193-8590","locksmith@christopher.isildur.org"
"62","DZVWQGJN-804-169590","Oakenshield's Structural Architectures Specialty Seafood","1007 Aspen Circle","Syracuse","NY","14617","585-297-7960",
"63","9639-3778190-PYSPZEH","Bergil's Malfunctioning Stabilizer Racetrack","1195 Huntington Heights","Vincennes","IN","47647","260-605-3076","racetrack@joe.bergil.com"
"64","75770-UEHZRJZ-113","Sauron's Repositioning Manuscript Home Inspection","1541 Vicki Ln","Andover","MN","56570",,
